,Symbol,MktCapUSD,num_market_pairs,cmc_rank
3268,ESTBTC,0.0,2,3271
2802,KINEBTC,0.0,18,2805
2975,HBDBTC,0.0,2,2978
4660,HAYBTC,0.0,9,4663
3543,XFITBTC,0.0,4,3546
4371,TCNHBTC,0.0,1,4374
3188,ARNMBTC,0.0,5,3191
2181,KIMCHIBTC,0.0,6,2184
3049,TAIBTC,0.0,10,3052
4329,CINUBTC,0.0,8,4332
3693,OORCBTC,0.0,3,3696
4258,SURVBTC,0.0,2,4261
3688,GOVBTC,0.0,3,3691
801,XMCBTC,0.0,5,804
2597,MFTUBTC,0.0,7,2600
3661,SUNDAEBTC,0.0,4,3664
3478,CHLIBTC,0.0,2,3481
3087,CNHCBTC,0.0,1,3090
2619,CBETHBTC,0.0,16,2622
3374,XCDOTBTC,0.0,10,3377
3273,HIODBSBTC,0.0,1,3276
4843,RETH2BTC,0.0,2,4846
3153,HIMOONBIRDSBTC,0.0,1,3156
3320,HIMFERSBTC,0.0,1,3323
3154,HIMEEBITSBTC,0.0,1,3157
3144,HIMAYCBTC,0.0,1,3147
3274,HIGAZERSBTC,0.0,1,3277
4113,HGHGBTC,0.0,7,4116
3092,HIFLUFBTC,0.0,1,3095
3145,HIENS4BTC,0.0,1,3148
2901,HIENS3BTC,0.0,1,2904
3351,HICOOLCATSBTC,0.0,1,3354
3108,HICLONEXBTC,0.0,1,3111
3137,HIBAYCBTC,0.0,2,3140
3098,HIAZUKIBTC,0.0,1,3101
4566,XCCBTC,0.0,1,4569
3277,HIFIDENZABTC,0.0,1,3280
4676,KPADBTC,0.0,7,4679
4366,AMKTBTC,0.0,8,4369
2828,CRVFRAXBTC,0.0,23,2831
2681,GETHBTC,0.0,3,2684
3986,XUSDBTC,0.0,3,3989
4838,GFLYBTC,0.0,3,4841
4658,PGALABTC,0.0,1,4661
3896,CUNIBTC,0.0,2,3899
4262,CWCBTC,0.0,1,4265
3323,LAVAXBTC,0.0,1,3326
3221,GBPTBTC,0.0,12,3224
3536,MEDIABTC,0.0,10,3539
4150,GGMBTC,0.0,2,4153
3341,SRTBTC,0.0,5,3344
4588,XRXBTC,0.0,5,4591
3786,COINBTC,0.0,6,3789
3961,STREETHBTC,0.0,2,3964
3631,STRBTC,0.0,8,3634
4228,KSHIBBTC,0.0,3,4231
4515,MEXBTC,0.0,3,4518
4746,STNBTC,0.0,9,4749
4062,GMEXBTC,0.0,6,4065
2736,METIBTC,0.0,1,2739
3676,STIMABTC,0.0,2,3679
4720,GMEBTC,0.0,6,4723
3074,PAIBTC,0.0,6,3077
3337,STATOMBTC,0.0,1,3340
2711,KWENTABTC,0.0,6,2714
2733,XRPDOWNBTC,0.0,2,2736
2889,XRPUPBTC,0.0,2,2892
3130,HIODBTC,0.0,1,3133
19,ATOMBTC,0.0,409,22
3265,HIPENGUINSBTC,0.0,1,3268
4813,IMAYCBTC,0.0,1,4816
2701,USDTEBTC,0.0,86,2704
3928,JPYCBTC,0.0,26,3931
4250,USDEXBTC,0.0,5,4253
3084,BNBDOWNBTC,0.0,2,3087
2607,BB-A-USDTBTC,0.0,3,2610
2871,BNBTIGERBTC,0.0,10,2874
2884,USDC(WormHole)BTC,0.0,23,2887
4657,USD+BTC,0.0,52,4660
4790,BAGSBTC,0.0,20,4793
2617,WFTMBTC,0.0,1090,2620
3462,BNBUPBTC,0.0,2,3465
4916,VATRENIBTC,0.0,1,4919
2697,BBOBTC,0.0,1,2700
4748,BLESBTC,0.0,12,4751
4096,BDTBTC,0.0,3,4099
3112,VTSBTC,0.0,3,3115
4445,VNXAUBTC,0.0,7,4448
2622,BETHBTC,0.0,41,2625
3681,JEURBTC,0.0,27,3684
4943,ISKYBTC,0.0,11,4946
3408,VEUSDBTC,0.0,6,3411
4822,WARBTC,0.0,10,4825
4375,VETMEBTC,0.0,1,4378
4235,MTRBTC,0.0,7,4238
4590,BIOBTC,0.0,2,4593
3594,MVDBTC,0.0,5,3597
2649,VELABTC,0.0,24,2652
2602,WAVAXBTC,0.0,691,2605
1875,VDLBTC,0.0,5,1878
3079,WGLMRBTC,0.0,53,3082
4061,PINKSALEBTC,0.0,3,4064
3076,BREEDBTC,0.0,16,3079
4108,HVIBTC,0.0,19,4111
1707,BTOBTC,0.0,3,1710
4695,TUSBTC,0.0,13,4698
3999,AUSDBTC,0.0,12,4002
4519,TSUBASAUTBTC,0.0,1,4522
3825,TSLABTC,0.0,4,3828
2608,WSTETHBTC,0.0,43,2611
3430,NOXBTC,0.0,1,3433
3127,HIVALHALLABTC,0.0,2,3130
3111,HISQUIGGLEBTC,0.0,1,3114
3577,KBDBTC,0.0,5,3580
2934,HISAND33BTC,0.0,1,2937
3915,WVETBTC,0.0,13,3918
3046,HIRENGABTC,0.0,1,3049
3228,HIPUNKSBTC,0.0,2,3231
4305,WTLOSBTC,0.0,20,4308
4571,TXAUBTC,0.0,8,4574
266,AVINOCBTC,0.0,14,269
3021,BTCUPBTC,0.0,3,3024
3451,WHTBTC,0.0,95,3454
4158,BROBTC,0.0,7,4161
3319,BRTBTC,0.0,10,3322
4543,UCXBTC,0.0,3,4546
3502,WJEWELBTC,0.0,5,3505
3434,NHCTBTC,0.0,2,3437
4499,BSXBTC,0.0,2,4502
2600,WMATICBTC,0.0,1577,2603
3338,WMOVRBTC,0.0,59,3341
3528,WNEARBTC,0.0,85,3531
2613,BTC.bBTC,0.0,9,2616
4604,TXTBTC,0.0,4,4607
3644,WOKTBTC,0.0,85,3647
2790,BTCDOWNBTC,0.0,3,2793
3891,BTCKBTC,0.0,34,3894
4197,NMEEBITSBTC,0.0,1,4200
4991,BABABTC,0.0,3,4994
4760,DAVOSBTC,0.0,3,4763
4757,STKBNBBTC,0.0,8,4760
4879,DKNIGHTBTC,0.0,20,4882
4955,ZENCBTC,0.0,2,4958
3756,MARTBTC,0.0,4,3759
4495,ABLBTC,0.0,3,4498
4490,PORTXBTC,0.0,9,4493
4761,ankrBNBBTC,0.0,8,4764
4206,SHIBAYBTC,0.0,2,4209
4243,SHIBAZILLABTC,0.0,10,4246
3247,SHIBDOGEBTC,0.0,12,3250
3061,axlUSDCBTC,0.0,28,3064
4696,FROGBTC,0.0,2,4699
3019,LOONBTC,0.0,8,3022
4683,pBTC35ABTC,0.0,9,4686
4254,SHIBTOROBTC,0.0,4,4257
3823,LHBBTC,0.0,16,3826
2897,LINKUPBTC,0.0,2,2900
3967,DURTHBTC,0.0,1,3970
3110,DTLTBTC,0.0,1,3113
3352,PRBBTC,0.0,1,3355
