,Symbol,Open_Time,Open,High,Low,Close_Price,Asset_Volume,Close_Time,BTC_Volume,Trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
832,1INCHBTC,2021-01-02 21:00:00,3.353e-05,4.659e-05,3.12e-05,3.198e-05,364120.9,2021-01-02 21:14:59.999,12.73929708,1955,252809.3,9.09350336,0
29360,ACMBTC,2021-12-27 22:00:00,0.0001065,0.0001447,0.0001065,0.0001119,95541.8,2021-12-27 22:14:59.999,12.06032391,6111,63038.2,7.96733669,0
48512,ACMBTC,2022-07-15 10:00:00,0.0001595,0.0004292,0.0001543,0.0003371,149722.0,2022-07-15 10:14:59.999,33.9076642,6367,104464.3,22.92394774,0
117205,ADXBTC,2021-04-08 00:00:00,2.253e-05,2.751e-05,2.129e-05,2.193e-05,2161200.0,2021-04-08 00:14:59.999,50.44676229,6129,1049038.0,24.56467303,0
6944,AERGOBTC,2021-01-02 00:00:00,1.43e-06,2e-06,1.41e-06,1.58e-06,3542000.0,2021-01-02 00:14:59.999,6.41231443,3793,2455344.0,4.50070772,0
7028,AERGOBTC,2021-01-02 21:00:00,2.1e-06,2.46e-06,1.81e-06,1.91e-06,3929271.0,2021-01-02 21:14:59.999,7.90186053,1979,1945059.0,3.96975479,0
60083,AERGOBTC,2022-07-10 05:00:00,8.29e-06,2.353e-05,8.14e-06,1.466e-05,1723522.0,2022-07-10 05:14:59.999,25.03007862,4559,1008433.0,14.43526224,0
65891,AERGOBTC,2022-09-08 17:00:00,6.63e-06,1.2e-05,6.54e-06,7.68e-06,6019031.0,2022-09-08 17:14:59.999,54.8159534,9552,3232996.0,29.21671877,0
74831,AERGOBTC,2022-12-10 20:00:00,6.63e-06,8.96e-06,6.59e-06,6.7e-06,4096883.0,2022-12-10 20:14:59.999,31.07252156,5509,2279130.0,17.18850599,0
42054,AGIXBTC,2022-08-14 16:00:00,2.68e-06,4e-06,2.68e-06,2.82e-06,83852474.0,2022-08-14 16:14:59.999,273.6955414,26105,53140249.0,174.4359245,0
37976,AGLDBTC,2022-11-04 21:00:00,1.757e-05,2.29e-05,1.757e-05,1.83e-05,458689.1,2022-11-04 21:14:59.999,10.0005372,632,424634.4,9.37584894,0
7966,AIONBTC,2018-03-15 20:00:00,0.0002802,0.00059,0.0002801,0.0003515,2888893.31,2018-03-15 20:14:59.999,1159.22580705,17155,1740482.94,710.85112572,0
113600,AMBBTC,2021-02-10 21:00:00,6.9e-07,1.07e-06,5.3e-07,6.2e-07,61311006.0,2021-02-10 21:14:59.999,44.17146955,5140,35167039.0,27.38887768,0
21064,AMPBTC,2022-06-30 16:00:00,7.1e-07,8.1e-07,6.1e-07,6.2e-07,28236558.0,2022-06-30 16:14:59.999,20.233093,2220,14118824.0,10.2406052,0
10340,ANCBTC,2022-05-13 04:00:00,2.55e-06,4.82e-06,2.54e-06,3.81e-06,2449848.61,2022-05-13 04:14:59.999,9.31639969,1539,1212390.51,4.6648859,0
10428,ANCBTC,2022-05-14 02:00:00,5.49e-06,7.5e-06,4.86e-06,5.9e-06,3575046.94,2022-05-14 02:14:59.999,21.63843144,2767,1644858.43,9.89910516,0
21443,ANTBTC,2021-03-24 20:00:00,0.0001215,0.0002578,0.0001215,0.0001565,946925.62,2021-03-24 20:14:59.999,146.63081554,18530,543802.18,86.58246236,0
104397,APPCBTC,2021-01-01 21:00:00,9.4e-07,1.2e-06,9.4e-07,9.4e-07,12472714.0,2021-01-01 21:14:59.999,13.46455414,2812,7039692.0,7.67768858,0
105549,APPCBTC,2021-01-13 21:00:00,8.3e-07,1.18e-06,8.3e-07,8.5e-07,11713794.0,2021-01-13 21:14:59.999,11.30276522,3556,6979655.0,6.89743883,0
107089,APPCBTC,2021-01-29 22:00:00,1.1e-06,1.67e-06,9.5e-07,1e-06,22374681.0,2021-01-29 22:14:59.999,29.01380022,5542,13485944.0,18.54414748,0
107261,APPCBTC,2021-01-31 17:00:00,1.38e-06,6e-06,1.38e-06,1.79e-06,97750958.0,2021-01-31 17:14:59.999,291.23005111,32595,53517378.0,162.22947497,0
107741,APPCBTC,2021-02-05 17:00:00,1.93e-06,2.83e-06,1.73e-06,1.8e-06,35243994.0,2021-02-05 17:14:59.999,76.76530437,11631,17698911.0,39.48406646,0
138100,APPCBTC,2021-12-19 15:00:00,1.74e-06,2.22e-06,1.6e-06,1.69e-06,45176981.0,2021-12-19 15:14:59.999,88.80341543,15360,26590382.0,52.79471546,0
532,APTBTC,2022-10-24 14:00:00,0.00050982,0.00088888,0.00050007,0.00050136,120840.84,2022-10-24 14:14:59.999,63.76647797,2526,70968.83,38.41716678,0
